QF4: hspd=20.4484, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4483, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4033, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4032, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4031, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.403, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4029, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4028, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4027, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4026, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4025, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.4024, x=3307.4668, y=1610.9541, x_hex=0x454eb778, y_hex=0x44c95e88, type=overlap
QF4: hspd=20.3818, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3817, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3816, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3815, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3814, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3813, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3812, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3811, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.381, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
QF4: hspd=20.3809, x=3307.454, y=1610.9292, x_hex=0x454eb744, y_hex=0x44c95dbc, type=overlap
