===== QF 1 =====

===== QF 2 =====

===== QF 3 =====

===== QF 4 =====
hspd=19.9393, y=1610.4312, x=3307.2002
hspd=19.9392, y=1610.4312, x=3307.2002
hspd=19.9391, y=1610.4312, x=3307.2002
hspd=19.9390, y=1610.4312, x=3307.2002
hspd=19.9389, y=1610.4312, x=3307.2002
hspd=19.9388, y=1610.4312, x=3307.2002
hspd=19.9387, y=1610.4312, x=3307.2002
hspd=19.9386, y=1610.4312, x=3307.2002
hspd=19.9385, y=1610.4312, x=3307.2002
hspd=19.8720, y=1610.3564, x=3307.1620
hspd=19.8719, y=1610.3564, x=3307.1620
hspd=19.8718, y=1610.3564, x=3307.1620
hspd=19.8717, y=1610.3564, x=3307.1620
hspd=19.8716, y=1610.3564, x=3307.1620
hspd=19.8715, y=1610.3564, x=3307.1620
hspd=19.8714, y=1610.3564, x=3307.1620
hspd=19.8713, y=1610.3564, x=3307.1620
hspd=19.8712, y=1610.3564, x=3307.1620
hspd=19.8711, y=1610.3564, x=3307.1620
hspd=19.8505, y=1610.3315, x=3307.1494
hspd=19.8504, y=1610.3315, x=3307.1494
hspd=19.8503, y=1610.3315, x=3307.1494
hspd=19.8502, y=1610.3315, x=3307.1494
hspd=19.8501, y=1610.3315, x=3307.1494
hspd=19.8500, y=1610.3315, x=3307.1494
hspd=19.8499, y=1610.3315, x=3307.1494
hspd=19.8498, y=1610.3315, x=3307.1494
hspd=19.8497, y=1610.3315, x=3307.1494
hspd=19.8496, y=1610.3315, x=3307.1494
hspd=19.8495, y=1610.3315, x=3307.1494
hspd=19.8494, y=1610.3315, x=3307.1494
hspd=19.8493, y=1610.3315, x=3307.1494
hspd=19.8492, y=1610.3315, x=3307.1494
hspd=19.8491, y=1610.3315, x=3307.1494
hspd=19.8490, y=1610.3315, x=3307.1494
hspd=19.8489, y=1610.3315, x=3307.1494
hspd=19.8488, y=1610.3315, x=3307.1494
hspd=19.8487, y=1610.3315, x=3307.1494
hspd=19.8291, y=1610.3066, x=3307.1367
hspd=19.8290, y=1610.3066, x=3307.1367
hspd=19.8289, y=1610.3066, x=3307.1367
hspd=19.8288, y=1610.3066, x=3307.1367
hspd=19.8287, y=1610.3066, x=3307.1367
hspd=19.8286, y=1610.3066, x=3307.1367
hspd=19.8285, y=1610.3066, x=3307.1367
hspd=19.8284, y=1610.3066, x=3307.1367
hspd=19.8283, y=1610.3066, x=3307.1367
hspd=19.8282, y=1610.3066, x=3307.1367
hspd=19.8281, y=1610.3066, x=3307.1367
hspd=19.8280, y=1610.3066, x=3307.1367
hspd=19.8279, y=1610.3066, x=3307.1367
hspd=19.8278, y=1610.3066, x=3307.1367
hspd=19.8277, y=1610.3066, x=3307.1367
hspd=19.8276, y=1610.3066, x=3307.1367
hspd=19.8275, y=1610.3066, x=3307.1367
hspd=19.8274, y=1610.3066, x=3307.1367
hspd=19.8273, y=1610.3066, x=3307.1367
hspd=19.8272, y=1610.3066, x=3307.1367
hspd=19.8076, y=1610.2817, x=3307.1240
hspd=19.8075, y=1610.2817, x=3307.1240
hspd=19.8074, y=1610.2817, x=3307.1240
hspd=19.8073, y=1610.2817, x=3307.1240
hspd=19.8072, y=1610.2817, x=3307.1240
hspd=19.8071, y=1610.2817, x=3307.1240
hspd=19.8070, y=1610.2817, x=3307.1240
hspd=19.8069, y=1610.2817, x=3307.1240
hspd=19.8068, y=1610.2817, x=3307.1240
hspd=19.8067, y=1610.2817, x=3307.1240
hspd=19.8066, y=1610.2817, x=3307.1240
hspd=19.8065, y=1610.2817, x=3307.1240
hspd=19.8064, y=1610.2817, x=3307.1240
hspd=19.8063, y=1610.2817, x=3307.1240
hspd=19.8062, y=1610.2817, x=3307.1240
hspd=19.8061, y=1610.2817, x=3307.1240
hspd=19.8060, y=1610.2817, x=3307.1240
hspd=19.8059, y=1610.2817, x=3307.1240
hspd=19.8058, y=1610.2817, x=3307.1240
hspd=19.8057, y=1610.2817, x=3307.1240
hspd=19.7851, y=1610.2568, x=3307.1113
hspd=19.7850, y=1610.2568, x=3307.1113
hspd=19.7849, y=1610.2568, x=3307.1113
hspd=19.7848, y=1610.2568, x=3307.1113
hspd=19.7847, y=1610.2568, x=3307.1113
hspd=19.7846, y=1610.2568, x=3307.1113
hspd=19.7845, y=1610.2568, x=3307.1113
hspd=19.7844, y=1610.2568, x=3307.1113
hspd=19.7843, y=1610.2568, x=3307.1113
hspd=19.7842, y=1610.2568, x=3307.1113
hspd=19.7177, y=1610.1821, x=3307.0732
hspd=19.7176, y=1610.1821, x=3307.0732
hspd=19.7175, y=1610.1821, x=3307.0732
hspd=19.7174, y=1610.1821, x=3307.0732
hspd=19.7173, y=1610.1821, x=3307.0732
hspd=19.7172, y=1610.1821, x=3307.0732
hspd=19.7171, y=1610.1821, x=3307.0732
hspd=19.7170, y=1610.1821, x=3307.0732
hspd=19.7169, y=1610.1821, x=3307.0732
hspd=19.7168, y=1610.1821, x=3307.0732
hspd=19.7167, y=1610.1821, x=3307.0732
hspd=19.7166, y=1610.1821, x=3307.0732
hspd=19.7165, y=1610.1821, x=3307.0732
hspd=19.7164, y=1610.1821, x=3307.0732
hspd=19.7163, y=1610.1821, x=3307.0732
hspd=19.7162, y=1610.1821, x=3307.0732
hspd=19.7161, y=1610.1821, x=3307.0732
hspd=19.7160, y=1610.1821, x=3307.0732
hspd=19.7159, y=1610.1821, x=3307.0732
hspd=19.6962, y=1610.1572, x=3307.0605
hspd=19.6961, y=1610.1572, x=3307.0605
hspd=19.6960, y=1610.1572, x=3307.0605
hspd=19.6959, y=1610.1572, x=3307.0605
hspd=19.6958, y=1610.1572, x=3307.0605
hspd=19.6957, y=1610.1572, x=3307.0605
hspd=19.6956, y=1610.1572, x=3307.0605
hspd=19.6955, y=1610.1572, x=3307.0605
hspd=19.6954, y=1610.1572, x=3307.0605
hspd=19.6953, y=1610.1572, x=3307.0605
hspd=19.6952, y=1610.1572, x=3307.0605
hspd=19.6951, y=1610.1572, x=3307.0605
hspd=19.6950, y=1610.1572, x=3307.0605
hspd=19.6949, y=1610.1572, x=3307.0605
hspd=19.6948, y=1610.1572, x=3307.0605
hspd=19.6947, y=1610.1572, x=3307.0605
hspd=19.6946, y=1610.1572, x=3307.0605
hspd=19.6945, y=1610.1572, x=3307.0605
hspd=19.6944, y=1610.1572, x=3307.0605
hspd=19.6747, y=1610.1323, x=3307.0479
hspd=19.6746, y=1610.1323, x=3307.0479
hspd=19.6745, y=1610.1323, x=3307.0479
hspd=19.6744, y=1610.1323, x=3307.0479
hspd=19.6743, y=1610.1323, x=3307.0479
hspd=19.6742, y=1610.1323, x=3307.0479
hspd=19.6741, y=1610.1323, x=3307.0479
hspd=19.6740, y=1610.1323, x=3307.0479
hspd=19.6739, y=1610.1323, x=3307.0479
hspd=19.6738, y=1610.1323, x=3307.0479
hspd=19.6737, y=1610.1323, x=3307.0479
hspd=19.6736, y=1610.1323, x=3307.0479
hspd=19.6735, y=1610.1323, x=3307.0479
hspd=19.6734, y=1610.1323, x=3307.0479
hspd=19.6733, y=1610.1323, x=3307.0479
hspd=19.6732, y=1610.1323, x=3307.0479
hspd=19.6731, y=1610.1323, x=3307.0479
hspd=19.6730, y=1610.1323, x=3307.0479
hspd=19.6729, y=1610.1323, x=3307.0479
hspd=19.6523, y=1610.1074, x=3307.0352
hspd=19.6522, y=1610.1074, x=3307.0352
hspd=19.6521, y=1610.1074, x=3307.0352
hspd=19.6520, y=1610.1074, x=3307.0352
hspd=19.6519, y=1610.1074, x=3307.0352
hspd=19.6518, y=1610.1074, x=3307.0352
hspd=19.6517, y=1610.1074, x=3307.0352
hspd=19.6516, y=1610.1074, x=3307.0352
hspd=19.6515, y=1610.1074, x=3307.0352
hspd=19.6514, y=1610.1074, x=3307.0352
hspd=19.6064, y=1610.0576, x=3307.0098
